velocidad,calle,retraso,velocidad_promedio
17.9,AP Norte >(N),125,17.993880866425993
28.580000000000002,AP Norte >(N),116,17.993880866425993
11.040000000000001,AP Norte >(N),142,17.993880866425993
11.43,AP Norte >(S),162,17.993880866425993
22.009999999999998,AP Norte >(N),93,17.993880866425993
13.12,AP Norte >(S),136,17.993880866425993
9.34,AP Norte>(N),135,17.993880866425993
19.02,AP Norte >(N),85,17.993880866425993
11.85,AP Norte >(S),155,17.993880866425993
26.45,AP Norte >(N),107,17.993880866425993
27.75,AP Norte >(N),98,17.993880866425993
8.85,AP Norte>(N),144,17.993880866425993
6.589999999999999,AP Norte >(S),111,17.993880866425993
8.120000000000001,AP Norte >(S),245,17.993880866425993
9.3,AP Norte>(N),135,17.993880866425993
6.279999999999999,AP Norte >(S),117,17.993880866425993
20.88,AP Norte >(N),130,17.993880866425993
17.14,AP Norte >(N),99,17.993880866425993
10.52,AP Norte >(N),150,17.993880866425993
26.410000000000004,AP Norte >(N),81,17.993880866425993
12.319999999999999,AP Norte >(N),123,17.993880866425993
11.44,AP Norte>(N),105,17.993880866425993
8.75,AP Norte >(S),224,17.993880866425993
13.190000000000001,AP Norte >(N),113,17.993880866425993
9.139999999999999,AP Norte >(S),213,17.993880866425993
9.9,AP Norte >(S),193,17.993880866425993
27.21,AP Norte >(N),102,17.993880866425993
13.830000000000002,AP Norte >(N),106,17.993880866425993
27.22,AP Norte >(N),102,17.993880866425993
19.4,AP Norte >(N),83,17.993880866425993
27.689999999999998,AP Norte >(N),99,17.993880866425993
19.48,AP Norte >(N),82,17.993880866425993
31.279999999999994,AP Norte >(N),78,17.993880866425993
27.439999999999998,AP Norte >(N),100,17.993880866425993
11.76,AP Norte >(S),156,17.993880866425993
28.46,AP Norte >(N),94,17.993880866425993
10.43,AP Norte >(S),181,17.993880866425993
28.380000000000003,AP Norte >(N),94,17.993880866425993
6.11,AP Norte >(S),121,17.993880866425993
10.5,AP Norte >(S),180,17.993880866425993
27.73,AP Norte >(N),99,17.993880866425993
6.62,AP Norte >(S),110,17.993880866425993
3.34,AP Norte >(S),653,17.993880866425993
2.3,AP Norte >(S),350,17.993880866425993
1.47,AP Norte >(S),1531,17.993880866425993
16.869999999999997,AP Norte >(N),101,17.993880866425993
1.5,AP Norte >(S),546,17.993880866425993
1.14,AP Norte >(S),1985,17.993880866425993
4.92,AP Norte >(S),154,17.993880866425993
2.56,AP Norte >(S),864,17.993880866425993
15.85,AP Norte >(N),110,17.993880866425993
3.79,AP Norte >(S),206,17.993880866425993
22.18,AP Norte >(N),145,17.993880866425993
23.44,AP Norte >(S),75,17.993880866425993
25.119999999999997,AP Norte >(N),118,17.993880866425993
41.7,AP Norte >(S),62,17.993880866425993
34.410000000000004,AP Norte >(S),87,17.993880866425993
19.05,AP Norte >(S),105,17.993880866425993
6.04,AP Norte >(S),123,17.993880866425993
9.260000000000002,AP Norte >(S),210,17.993880866425993
4.58,AP Norte >(S),167,17.993880866425993
11.68,AP Norte >(S),158,17.993880866425993
5.67,AP Norte >(S),132,17.993880866425993
14.26,AP Norte >(S),122,17.993880866425993
40.94,AP Norte >(S),65,17.993880866425993
13.229999999999999,AP Norte >(S),134,17.993880866425993
6.74,AP Norte >(S),108,17.993880866425993
6.57,AP Norte >(S),111,17.993880866425993
7.409999999999999,AP Norte >(S),272,17.993880866425993
7.110000000000001,AP Norte >(S),285,17.993880866425993
7.18,AP Norte >(S),282,17.993880866425993
4.45,AP Norte >(S),481,17.993880866425993
5.7,AP Norte >(S),131,17.993880866425993
13.440000000000001,AP Norte >(S),171,17.993880866425993
17.99,AP Norte >(S),114,17.993880866425993
23.869999999999997,AP Norte >(S),73,17.993880866425993
